性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,官方：拜仁签下门将索默 合同至2025年身披27号球衣拜仁慕尼黑官方宣布，球队签下现年34岁的门兴格拉德巴赫门将索默，双方签约2年半，据悉转会费800万欧外加150万欧浮动条款。在诺伊尔假期滑雪导致小腿骨折进而赛季报销后，拜仁一直在寻找他的替代者。最终，拜仁签下了门兴主力门将索默，他将与乌尔赖希竞争拜仁本赛季剩余时间的主力门将。现年34岁的索默在2014年7月加盟门兴格拉德巴赫，至今共为门兴出战335场比赛，在90场比赛中完成零封，丢459球。而在效力于瑞士国家队期间，索默在80场比赛中完成31场零封，丢78球。#拜仁官宣索默加盟#,2023/1/19,36,6,10,拜仁官宣索默加盟
0,1,0,2,1,中国足球协会：坚决拥护纪检监察机关对刘奕、陈永亮进行调查2023年1月19日，中国足球协会党委召开扩大会议，通报中国足球协会执委、原秘书长刘奕涉嫌严重违法，常务副秘书长兼国管部部长陈永亮涉嫌严重违纪违法，目前正在接受纪检监察机关调查。　　体育总局副局长、中国足球协会党委书记杜兆才，中国足球协会主席陈戌源和协会副主席、驻会执委等与会人员逐一表态发言。大家一致表示，纪检监察机关决定对刘奕、陈永亮进行调查，充分体现了坚决贯彻落实党中央决策部署，推进足球领域反腐败斗争的坚强决心和坚定意志；充分体现了足球领域反腐败无禁区、全覆盖、零容忍的鲜明态度。中国足球协会坚决拥护、坚决支持纪检监察机关对刘奕、陈永亮进行调查。　　会议强调，中国足球协会要汲取教训，以案为鉴，反思警醒，坚持不懈用习近平新时代中国特色社会主义思想凝心聚魂，坚定拥护“两个确立”，坚决做到“两个维护”。要以案促改，以案促治，持之以恒加强对足球从业人员教育管理监督，切实管好管住“关键少数”“关键岗位”，一体推进“不敢腐、不能腐、不想腐”，坚定不移推动全面从严治党向纵深发展。协会工作人员要始终牢记党纪国法面前没有例外，自觉接受监督，依法用权、秉公用权、廉洁用权，知敬畏、存戒惧、守底线，努力营造风清气正的足球生态。　　中国足球协会第十一届执委会研究，决定罢免刘奕执委职务，提交会员大会通过。#原足协秘书长刘奕接受监察调查##足协常务副秘书长陈永亮接受审查调查#,2023/1/19,21,0,3,"原足协秘书长刘奕接受监察调查,足协常务副秘书长陈永亮接受审查调查"
0,1,0,1,10,中央纪委国家监委驻国家体育总局纪检监察组官方消息，原中国足球协会秘书长刘奕涉嫌严重违法，正接受监察调查；常务副秘书长兼国家队管理部部长陈永亮涉嫌严重违纪违法，正接受审查调查。 #原足协秘书长刘奕接受监察调查##足协常务副秘书长陈永亮接受审查调查# ,2023/1/19,49,29,13,"原足协秘书长刘奕接受监察调查,足协常务副秘书长陈永亮接受审查调查"
0,1,0,1,1,北京时间1月20日凌晨1点，利雅得明星队与巴黎进行热身赛，这将是C罗和梅西的第37次交锋。据沙特媒体kooora统计，梅罗首次对决是2008年欧冠半决赛，在过往的36次交锋中，梅西取得16胜9平11负的成绩，梅西总共打进22球，C罗则打入21球。两人上次交手是2020年12月的欧冠，当时C罗效力的尤文图斯3-0击败梅西效力的巴萨。,2023/1/19,26,11,15,
0,1,0,1,1,自2020年五大联赛进球数TOP10：莱万104球笑傲群雄1、莱万 92场104球2、哈兰德 84场83球3、姆巴佩 91场75球4、因莫比莱 101场73球5、C罗 93场69球6、本泽马 95场67球7、凯恩 101场62球8、萨拉赫 108场62球9、本耶德尔 100场61球10、梅西 96场56球 ,2023/1/19,51,50,7,
0,1,0,2,8,德勤俱乐部收入TOP20：曼城蝉联榜首 英超独占半壁江山国际会计事务所德勤发布2022-23赛季足球俱乐部报告，曼城连续两年成为收入最高的俱乐部，皇马第二，利物浦超越拜仁、巴萨、曼联、巴黎来到第三位。前20中有11家英超俱乐部。德勤俱乐部收入TOP20：（单位：欧元）1.曼城：7.31亿2.皇马：7.14亿3.利物浦：7.02亿4.曼联：6.89亿5.巴黎：6.54亿6.拜仁：6.54亿7.巴萨：6.38亿8.切尔西：5.68亿9.热刺：5.23亿10.阿森纳：4.34亿11.尤文：4.01亿12.马竞：3.94亿13.多特：3.57亿14.国米：3.08亿15.西汉姆：3.01亿16.米兰：2.65亿17.莱斯特：2.52亿18.利兹联：2.23亿19.埃弗顿：2.14亿20.纽卡：2.12亿,2023/1/19,6,2,3,
0,1,0,1,9,魔性动画预热利雅得明星赛：C罗带梅西夜店尬舞 PP体育的微博视频 ,2023/1/19,24,3,2,
0,1,1,1,1,卡塞米罗有多重要？胖虎不在曼联胜率减半失球陡增三倍英超联赛第7轮补赛，曼联客场1-1遭水晶宫绝平，红魔不仅在比赛最后时刻丢掉2分，而且中场大将卡塞米罗此役染黄，他将因累计黄牌停赛缺战周末客场与阿森纳的焦点大战。天空体育列举了卡塞米罗是否登场对曼联成绩对比比赛场次：16-3胜率：69%-33%场均进球数：1.7-1场均失球数：0.7-2.3场均被射门次数：11-15#水晶宫1比1曼联#,2023/1/19,8,3,2,水晶宫1比1曼联
0,1,0,3,2,据《邮报》报道，一名阿根廷科尔多瓦省的农民种出了一片梅西图像的124英亩玉米地，以此致敬阿根廷夺得世界杯。农业专家为播种的机器设计了编码，某些区域的种子比其它区域更加密集。使农作物种植能够呈现出最终想要的图像。这名农民马克西米利亚诺-斯皮纳泽表示：现在他们是世界冠军，我很开心可以通过种植农作物来表达我的想法。#阿根廷农田惊现梅西巨型头像# #阿根廷农民种植出梅西头像的玉米地#,2023/1/19,27,6,1,"阿根廷农田惊现梅西巨型头像,阿根廷农民种植出梅西头像的玉米地"
0,1,0,1,1,国王杯-略伦特传射莫拉塔破门 马竞2-0莱万特晋级八强 PP体育的微博视频 ,2023/1/19,5,0,0,
